AREAS;SITES;TECHNOLOGIES;PERCENTAGES
920440105;1592338;5G;1
920440105;1655676;3G;1
920440105;1655676;5G;1
920440105;726050;4G;1
920440105;1592338;4G;1
920440105;1655676;4G;1
920780108;1641803;3G;1
920780108;1641803;5G;1
920780108;2322282;3G;1
920780108;2322282;5G;1
920780108;871233;3G;1
920780108;871233;5G;1
920780108;1641803;4G;1
920780108;2322282;4G;1
920780108;871233;4G;1
920440114;836230;3G;1
920440114;836230;5G;1
920440114;1903044;3G;1
920440114;1903044;5G;1
920440114;2141127;3G;1
920440114;2141127;5G;1
920440114;836230;4G;1
920440114;1903044;4G;1
920440114;2141127;4G;1
920630704;2536154;3G;1
920630704;2536154;5G;1
920630704;1658266;3G;1
920630704;1658266;5G;1
920630704;2536154;4G;1
920630704;1658266;4G;1
920630804;836343;3G;1
920630804;836343;5G;1
920630804;821504;3G;1
920630804;821504;5G;1
920630804;836343;4G;1
920630804;821504;4G;1
920040501;2068265;3G;1
920040501;2068265;5G;1
920040501;1583652;3G;1
920040501;1583652;5G;1
920040501;812348;3G;1
920040501;812348;5G;1
920040501;2068265;4G;1
920040501;1583652;4G;1
920040501;812348;4G;1
920200101;798342;3G;1
920200101;798342;5G;1
920200101;2197507;3G;1
920200101;2197507;5G;1
920200101;449242;3G;1
920200101;449242;5G;1
920200101;798342;4G;1
920200101;2197507;4G;1
920200101;449242;4G;1
920490102;2379404;3G;1
920490102;2379404;5G;1
920490102;1966367;3G;1
920490102;1966367;5G;1
920490102;2379404;4G;1
920490102;1966367;4G;1
920250111;1280803;3G;1
920250111;1280803;5G;1
920250111;534736;3G;1
920250111;534736;5G;1
920250111;1280803;4G;1
920250111;534736;4G;1
920040302;2023694;3G;1
920040302;2023694;5G;1
920040302;601391;3G;1
920040302;601391;5G;1
920040302;812348;3G;1
920040302;812348;5G;1
920040302;2023694;4G;1
920040302;601391;4G;1
920040302;812348;4G;1
920600106;836260;3G;1
920600106;836260;5G;1
920600106;653311;3G;1
920600106;653311;5G;1
920600106;2214218;3G;1
920600106;2214218;5G;1
920600106;836260;4G;1
920600106;653311;4G;1
920600106;2214218;4G;1
920330102;542323;3G;1
920330102;542323;5G;1
920330102;822604;3G;1
920330102;822604;5G;1
920330102;469799;3G;1
920330102;469799;5G;1
920330102;536906;3G;1
920330102;536906;5G;1
920330102;542323;4G;1
920330102;822604;4G;1
920330102;469799;4G;1
920330102;536906;4G;1
920090112;449462;3G;1
920090112;449462;5G;1
920090112;449462;4G;1
920710107;1422218;3G;1
920710107;1422218;5G;1
920710107;1010940;3G;1
920710107;1010940;5G;1
920710107;795414;3G;1
920710107;795414;5G;1
920710107;1422218;4G;1
920710107;1010940;4G;1
920710107;795414;4G;1
920070105;684499;3G;1
920070105;684499;5G;1
920070105;2529900;3G;1
920070105;2529900;5G;1
920070105;836254;3G;1
920070105;836254;5G;1
920070105;2556870;3G;1
920070105;2556870;5G;1
920070105;684499;4G;1
920070105;2529900;4G;1
920070105;836254;4G;1
920070105;2556870;4G;1
920510302;691183;3G;1
920510302;691183;5G;1
920510302;2135271;3G;1
920510302;2135271;5G;1
920510302;403119;3G;1
920510302;403119;5G;1
920510302;691181;4G;1
920510302;691181;5G;1
920510302;2135271;4G;1
920510302;403119;4G;1
920040201;1353488;3G;1
920040201;1353488;5G;1
920040201;1427464;3G;1
920040201;1427464;5G;1
920040201;1513850;3G;1
920040201;1513850;5G;1
920040201;582503;3G;1
920040201;582503;5G;1
920040201;689709;4G;1
920040201;689709;5G;1
920040201;1427464;4G;1
920040201;1513850;4G;1
920040201;582503;4G;1
920120101;627922;3G;1
920120101;627922;5G;1
920120101;1424796;3G;1
920120101;1424796;5G;1
920120101;512132;3G;1
920120101;512132;5G;1
920120101;627922;4G;1
920120101;1424796;4G;1
920120101;512132;4G;1
920230502;451434;3G;1
920230502;451434;5G;1
920230502;451434;4G;1
920040102;1422610;3G;1
920040102;1422610;5G;1
920040102;1964234;3G;1
920040102;1964234;5G;1
920040102;582503;3G;1
920040102;582503;5G;1
920040102;1422610;4G;1
920040102;1964234;4G;1
920040102;582503;4G;1
920760101;482547;3G;1
920760101;482547;5G;1
920760101;513336;3G;1
920760101;513336;5G;1
920760101;482547;4G;1
920760101;513336;4G;1
920510309;588703;3G;1
920510309;588703;5G;1
920510309;2042542;3G;1
920510309;2042542;5G;1
920510309;562397;3G;1
920510309;562397;5G;1
920510309;2042542;4G;1
920510309;562397;4G;1
920730113;800360;3G;1
920730113;800360;5G;1
920730113;1289644;3G;1
920730113;1289644;5G;1
920730113;800360;4G;1
920730113;1289644;4G;1
920240201;561930;3G;1
920240201;561930;5G;1
920240201;1651051;3G;1
920240201;1651051;5G;1
920240201;871237;3G;1
920240201;871237;5G;1
920240201;561930;4G;1
920240201;1651051;4G;1
920240201;871237;4G;1
920440126;616887;3G;1
920440126;616887;5G;1
920440126;1283918;3G;1
920440126;1283918;5G;1
920440126;616887;4G;1
920440126;1283918;4G;1
920460102;585721;3G;1
920460102;585721;5G;1
920460102;1323536;3G;1
920460102;1323536;5G;1
920460102;539205;3G;1
920460102;539205;5G;1
920460102;585721;4G;1
920460102;1323536;4G;1
920460102;539205;4G;1
920630603;2211523;3G;1
920630603;2211523;5G;1
920630603;1272756;3G;1
920630603;1272756;5G;1
920630603;602243;3G;1
920630603;602243;5G;1
920630603;2736523;3G;1
920630603;2736523;5G;1
920630603;2211523;4G;1
920630603;1272756;4G;1
920630603;602243;4G;1
920630603;2736523;4G;1
920260702;618348;3G;1
920260702;618348;5G;1
920260702;2254057;3G;1
920260702;2254057;5G;1
920260702;587197;3G;1
920260702;587197;5G;1
920260702;2438235;3G;1
920260702;2438235;5G;1
920260702;618348;4G;1
920260702;2254057;4G;1
920260702;587197;4G;1
920260702;2438235;4G;1
920730105;723412;3G;1
920730105;723412;5G;1
920730105;1909817;3G;1
920730105;1909817;5G;1
920730105;653329;3G;1
920730105;653329;5G;1
920730105;723412;4G;1
920730105;1909817;4G;1
920730105;653329;4G;1
920720102;483736;3G;1
920720102;483736;5G;1
920720102;836276;3G;1
920720102;836276;5G;1
920720102;1506642;3G;1
920720102;1506642;5G;1
920720102;483736;4G;1
920720102;836276;4G;1
920720102;1506642;4G;1
920630801;787963;3G;1
920630801;787963;5G;1
920630801;1685125;3G;1
920630801;1685125;5G;1
920630801;353447;3G;1
920630801;353447;5G;1
920630801;787963;4G;1
920630801;1685125;4G;1
920630801;353447;4G;1
920500203;2349873;3G;1
920500203;2349873;5G;1
920500203;2702787;3G;1
920500203;2702787;5G;1
920500203;2349873;4G;1
920500203;2702787;4G;1
920040103;1422610;3G;1
920040103;1422610;5G;1
920040103;663697;3G;1
920040103;663697;5G;1
920040103;1513850;3G;1
920040103;1513850;5G;1
920040103;582503;3G;1
920040103;582503;5G;1
920040103;1422610;4G;1
920040103;663697;4G;1
920040103;1513850;4G;1
920040103;582503;4G;1
920630401;1910947;3G;1
920630401;1910947;5G;1
920630401;822586;3G;1
920630401;822586;5G;1
920630401;2009051;3G;1
920630401;2009051;5G;1
920630401;513336;3G;1
920630401;513336;5G;1
920630401;1910947;4G;1
920630401;2009051;4G;1
920630401;513336;4G;1
920490108;2239946;3G;1
920490108;2239946;5G;1
920490108;1692137;3G;1
920490108;1692137;5G;1
920490108;601186;3G;1
920490108;601186;5G;1
920490108;2239946;4G;1
920490108;1692137;4G;1
920490108;601186;4G;1
920480206;836221;3G;1
920480206;836221;5G;1
920480206;2087017;3G;1
920480206;2087017;5G;1
920480206;2089716;3G;1
920480206;2089716;5G;1
920480206;584840;3G;1
920480206;584840;5G;1
920480206;836221;4G;1
920480206;2087017;4G;1
920480206;2089716;4G;1
920480206;584840;4G;1
920600110;1998886;3G;1
920600110;1998886;5G;1
920600110;411554;3G;1
920600110;411554;5G;1
920600110;1998886;4G;1
920600110;411554;4G;1
920490111;567426;3G;1
920490111;567426;5G;1
920490111;2557737;3G;1
920490111;2557737;5G;1
920490111;567426;4G;1
920490111;2557737;4G;1
920400502;1377683;3G;1
920400502;1377683;5G;1
920400502;2471028;3G;1
920400502;2471028;5G;1
920400502;1302514;3G;1
920400502;1302514;5G;1
920400502;1377683;4G;1
920400502;2471028;4G;1
920400502;1302514;4G;1
920500802;2775164;3G;1
920500802;2775164;5G;1
920500802;2512731;3G;1
920500802;2512731;5G;1
920500802;547063;3G;1
920500802;547063;5G;1
920500802;2775164;4G;1
920500802;2512731;4G;1
920500802;547063;4G;1
920020201;705641;3G;1
920020201;705641;5G;1
920020201;1903346;3G;1
920020201;1903346;5G;1
920020201;2118911;3G;1
920020201;2118911;5G;1
920020201;705641;4G;1
920020201;1903346;4G;1
920020201;2118911;4G;1
920620301;613416;3G;1
920620301;613416;5G;1
920620301;1547475;3G;1
920620301;1547475;5G;1
920620301;613416;4G;1
920620301;1547475;4G;1
920400204;2486292;3G;1
920400204;2486292;5G;1
920400204;1867439;3G;1
920400204;1867439;5G;1
920400204;633305;3G;1
920400204;633305;5G;1
920400204;2486292;4G;1
920400204;1867439;4G;1
920400204;633305;4G;1
920070104;1291917;3G;1
920070104;1291917;5G;1
920070104;2647568;3G;1
920070104;2647568;5G;1
920070104;2556870;3G;1
920070104;2556870;5G;1
920070104;1291917;4G;1
920070104;2647568;4G;1
920070104;2556870;4G;1
920220104;2308618;3G;1
920220104;2308618;5G;1
920220104;906160;3G;1
920220104;906160;5G;1
920220104;557730;3G;1
920220104;557730;5G;1
920220104;2308618;4G;1
920220104;906160;4G;1
920220104;557730;4G;1
920140102;517077;3G;1
920140102;517077;5G;1
920140102;1954211;3G;1
920140102;1954211;5G;1
920140102;2474146;3G;1
920140102;2474146;5G;1
920140102;517077;4G;1
920140102;1954211;4G;1
920140102;2474146;4G;1
920040403;1964234;3G;1
920040403;1964234;5G;1
920040403;1427464;3G;1
920040403;1427464;5G;1
920040403;1964234;4G;1
920040403;1427464;4G;1
920480202;1388807;3G;1
920480202;1388807;5G;1
920480202;1388807;4G;1
920770101;1895534;3G;1
920770101;1895534;5G;1
920770101;821482;3G;1
920770101;821482;5G;1
920770101;1895534;4G;1
920770101;821482;4G;1
920620101;1290594;3G;1
920620101;1290594;5G;1
920620101;1318741;3G;1
920620101;1318741;5G;1
920620101;1366274;3G;1
920620101;1366274;5G;1
920620101;1415446;3G;1
920620101;1415446;5G;1
920620101;2172400;3G;1
920620101;2172400;5G;1
920620101;2264990;3G;1
920620101;2264990;5G;1
920620101;568841;3G;1
920620101;568841;5G;1
920620101;669558;3G;1
920620101;669558;5G;1
920620101;941338;3G;1
920620101;941338;5G;1
920620101;1843411;3G;1
920620101;1843411;5G;1
920620101;762788;3G;1
920620101;762788;5G;1
920620101;1662266;3G;1
920620101;1662266;5G;1
920620101;1898384;3G;1
920620101;1898384;5G;1
920620101;42907;3G;1
920620101;42907;5G;1
920620101;1290594;4G;1
920620101;1318741;4G;1
920620101;1366274;4G;1
920620101;1415446;4G;1
920620101;2172400;4G;1
920620101;2264990;4G;1
920620101;568841;4G;1
920620101;669558;4G;1
920620101;941338;4G;1
920620101;554275;4G;1
920620101;554275;5G;1
920620101;1843411;4G;1
920620101;762788;4G;1
920620101;1662266;4G;1
920620101;1898384;4G;1
920620101;42907;4G;1
920020107;2280689;3G;1
920020107;2280689;5G;1
920020107;2311949;3G;1
920020107;2311949;5G;1
920020107;2118911;3G;1
920020107;2118911;5G;1
920020107;2280689;4G;1
920020107;2311949;4G;1
920020107;2118911;4G;1
920040104;689707;3G;1
920040104;689707;5G;1
920040104;449462;3G;1
920040104;449462;5G;1
920040104;689707;4G;1
920040104;449462;4G;1
920460109;515193;3G;1
920460109;515193;5G;1
920460109;515193;4G;1
920260705;618348;3G;1
920260705;618348;5G;1
920260705;2045762;3G;1
920260705;2045762;5G;1
920260705;2438235;3G;1
920260705;2438235;5G;1
920260705;618348;4G;1
920260705;2045762;4G;1
920260705;2438235;4G;1
920730116;790347;3G;1
920730116;790347;5G;1
920730116;2300810;3G;1
920730116;2300810;5G;1
920730116;523501;3G;1
920730116;523501;5G;1
920730116;790347;4G;1
920730116;2300810;4G;1
920730116;523501;4G;1
920460104;783781;3G;1
920460104;783781;5G;1
920460104;2212024;3G;1
920460104;2212024;5G;1
920460104;1903342;3G;1
920460104;1903342;5G;1
920460104;783781;4G;1
920460104;2212024;4G;1
920460104;1903342;4G;1
920510407;1986988;3G;1
920510407;1986988;5G;1
920510407;2058156;3G;1
920510407;2058156;5G;1
920510407;1986988;4G;1
920510407;2058156;4G;1
920400501;1377683;3G;1
920400501;1377683;5G;1
920400501;2201932;3G;1
920400501;2201932;5G;1
920400501;1377683;4G;1
920400501;2201932;4G;1
920770104;2458889;3G;1
920770104;2458889;5G;1
920770104;786859;3G;1
920770104;786859;5G;1
920770104;1720257;3G;1
920770104;1720257;5G;1
920770104;2488589;3G;1
920770104;2488589;5G;1
920770104;666471;3G;1
920770104;666471;5G;1
920770104;2458889;4G;1
920770104;786859;4G;1
920770104;1720257;4G;1
920770104;2488589;4G;1
920770104;666471;4G;1
920460101;756122;3G;1
920460101;756122;5G;1
920460101;1323536;3G;1
920460101;1323536;5G;1
920460101;1966367;3G;1
920460101;1966367;5G;1
920460101;2379404;3G;1
920460101;2379404;5G;1
920460101;756122;4G;1
920460101;1323536;4G;1
920460101;1966367;4G;1
920460101;2379404;4G;1
920480201;836317;3G;1
920480201;836317;5G;1
920480201;643107;3G;1
920480201;643107;5G;1
920480201;836317;4G;1
920480201;643107;4G;1
920710102;569716;3G;1
920710102;569716;5G;1
920710102;1623793;3G;1
920710102;1623793;5G;1
920710102;463018;3G;1
920710102;463018;5G;1
920710102;569716;4G;1
920710102;1623793;4G;1
920710102;463018;4G;1
920250402;2133900;3G;1
920250402;2133900;5G;1
920250402;2195077;3G;1
920250402;2195077;5G;1
920250402;588386;3G;1
920250402;588386;5G;1
920250402;2133900;4G;1
920250402;2195077;4G;1
920250402;588386;4G;1
920120604;1434952;3G;1
920120604;1434952;5G;1
920120604;628447;3G;1
920120604;628447;5G;1
920120604;1366010;3G;1
920120604;1366010;5G;1
920120604;581999;3G;1
920120604;581999;5G;1
920120604;1434952;4G;1
920120604;628447;4G;1
920120604;1366010;4G;1
920120604;581999;4G;1
920040304;599897;3G;1
920040304;599897;5G;1
920040304;1583652;3G;1
920040304;1583652;5G;1
920040304;599897;4G;1
920040304;1583652;4G;1
920510404;1992103;3G;1
920510404;1992103;5G;1
920510404;1992103;4G;1
920200103;798342;3G;1
920200103;798342;5G;1
920200103;2197507;3G;1
920200103;2197507;5G;1
920200103;449242;3G;1
920200103;449242;5G;1
920200103;798342;4G;1
920200103;2197507;4G;1
920200103;449242;4G;1
920200106;836234;3G;1
920200106;836234;5G;1
920200106;515193;3G;1
920200106;515193;5G;1
920200106;653790;3G;1
920200106;653790;5G;1
920200106;836234;4G;1
920200106;515193;4G;1
920200106;653790;4G;1
920510405;2313320;3G;1
920510405;2313320;5G;1
920510405;726050;3G;1
920510405;726050;5G;1
920510405;1592338;3G;1
920510405;1592338;5G;1
920510405;2313320;4G;1
920510405;726050;4G;1
920510405;1592338;4G;1
920500804;2052093;3G;1
920500804;2052093;5G;1
920500804;1545202;3G;1
920500804;1545202;5G;1
920500804;2052093;4G;1
920500804;1545202;4G;1
920120705;628453;3G;1
920120705;628453;5G;1
920120705;1472862;3G;1
920120705;1472862;5G;1
920120705;627954;3G;1
920120705;627954;5G;1
920120705;628453;4G;1
920120705;1472862;4G;1
920120705;627954;4G;1
920070107;684499;3G;1
920070107;684499;5G;1
920070107;1305975;3G;1
920070107;1305975;5G;1
920070107;684499;4G;1
920070107;1305975;4G;1
920250211;713189;3G;1
920250211;713189;5G;1
920250211;2511535;3G;1
920250211;2511535;5G;1
920250211;584535;3G;1
920250211;584535;5G;1
920250211;713189;4G;1
920250211;2511535;4G;1
920250211;584535;4G;1
920360101;807760;3G;1
920360101;807760;5G;1
920360101;653373;3G;1
920360101;653373;5G;1
920360101;2135481;3G;1
920360101;2135481;5G;1
920360101;807760;4G;1
920360101;653373;4G;1
920360101;2135481;4G;1
920090108;663697;3G;1
920090108;663697;5G;1
920090108;1513850;3G;1
920090108;1513850;5G;1
920090108;582503;3G;1
920090108;582503;5G;1
920090108;663697;4G;1
920090108;1513850;4G;1
920090108;582503;4G;1
920490107;601186;3G;1
920490107;601186;5G;1
920490107;2067504;3G;1
920490107;2067504;5G;1
920490107;601186;4G;1
920490107;2067504;4G;1
920260204;618013;3G;1
920260204;618013;5G;1
920260204;2266475;3G;1
920260204;2266475;5G;1
920260204;618011;3G;1
920260204;618011;5G;1
920260204;618013;4G;1
920260204;2266475;4G;1
920260204;618011;4G;1
920600109;836260;3G;1
920600109;836260;5G;1
920600109;1623351;3G;1
920600109;1623351;5G;1
920600109;2214218;3G;1
920600109;2214218;5G;1
920600109;836260;4G;1
920600109;1623351;4G;1
920600109;2214218;4G;1
920070102;2098352;3G;1
920070102;2098352;5G;1
920070102;1791560;3G;1
920070102;1791560;5G;1
920070102;929480;3G;1
920070102;929480;5G;1
920070102;2560888;3G;1
920070102;2560888;5G;1
920070102;2098352;4G;1
920070102;1791560;4G;1
920070102;929480;4G;1
920070102;2560888;4G;1
920230104;796962;3G;1
920230104;796962;5G;1
920230104;2465519;3G;1
920230104;2465519;5G;1
920230104;796962;4G;1
920230104;2465519;4G;1
920710104;1623793;3G;1
920710104;1623793;5G;1
920710104;558517;3G;1
920710104;558517;5G;1
920710104;1906082;3G;1
920710104;1906082;5G;1
920710104;1623793;4G;1
920710104;558517;4G;1
920710104;1906082;4G;1
920710101;569716;3G;1
920710101;569716;5G;1
920710101;1623793;3G;1
920710101;1623793;5G;1
920710101;1283117;3G;1
920710101;1283117;5G;1
920710101;463018;3G;1
920710101;463018;5G;1
920710101;569716;4G;1
920710101;1623793;4G;1
920710101;1283117;4G;1
920710101;463018;4G;1
920730111;836204;3G;1
920730111;836204;5G;1
920730111;2042394;3G;1
920730111;2042394;5G;1
920730111;614846;3G;1
920730111;614846;5G;1
920730111;836204;4G;1
920730111;2042394;4G;1
920730111;614846;4G;1
920020202;1903346;3G;1
920020202;1903346;5G;1
920020202;1903346;4G;1
920400101;1645006;3G;1
920400101;1645006;5G;1
920400101;1216418;3G;1
920400101;1216418;5G;1
920400101;534023;3G;1
920400101;534023;5G;1
920400101;1645006;4G;1
920400101;1216418;4G;1
920400101;534023;4G;1
920040203;689709;3G;1
920040203;689709;5G;1
920040203;1427464;3G;1
920040203;1427464;5G;1
920040203;601391;3G;1
920040203;601391;5G;1
920040203;689709;4G;1
920040203;1427464;4G;1
920040203;601391;4G;1
920020407;452038;3G;1
920020407;452038;5G;1
920020407;2061817;3G;1
920020407;2061817;5G;1
920020407;452038;4G;1
920020407;2061817;4G;1
920250306;1280803;3G;1
920250306;1280803;5G;1
920250306;1924440;3G;1
920250306;1924440;5G;1
920250306;1280803;4G;1
920250306;1924440;4G;1
920020304;705641;3G;1
920020304;705641;5G;1
920020304;485457;3G;1
920020304;485457;5G;1
920020304;705641;4G;1
920020304;485457;4G;1
920250305;713191;3G;1
920250305;713191;5G;1
920250305;1447933;3G;1
920250305;1447933;5G;1
920250305;2156159;3G;1
920250305;2156159;5G;1
920250305;584535;3G;1
920250305;584535;5G;1
920250305;713191;4G;1
920250305;1447933;4G;1
920250305;2156159;4G;1
920250305;584535;4G;1
920190114;2061817;3G;1
920190114;2061817;5G;1
920190114;2090803;3G;1
920190114;2090803;5G;1
920190114;1911777;3G;1
920190114;1911777;5G;1
920190114;2061817;4G;1
920190114;2090803;4G;1
920190114;1911777;4G;1
920750102;2240099;3G;1
920750102;2240099;5G;1
920750102;1302792;3G;1
920750102;1302792;5G;1
920750102;2240099;4G;1
920750102;1302792;4G;1
920320110;569716;3G;1
920320110;569716;5G;1
920320110;463018;3G;1
920320110;463018;5G;1
920320110;569716;4G;1
920320110;463018;4G;1
920260601;618346;3G;1
920260601;618346;5G;1
920260601;2262979;3G;1
920260601;2262979;5G;1
920260601;587197;3G;1
920260601;587197;5G;1
920260601;618346;4G;1
